"empid","department","position","salary","termd","employmentstatus","recruitmentsource","performancescore","empsatisfaction","engagementsurvey","absences","dayslatelast30","tenureyears"
10100,"Production","Production Technician II",58275,1,"Voluntarily Terminated","Google Search","Fully Meets",5,4.62,1,0,7.75
10310,"Production","Production Technician I",53189,0,"Active","Indeed","PIP",2,1.12,9,4,4.49
10197,"IT/IS","BI Developer",96820,0,"Active","Indeed","Fully Meets",5,3.01,15,0,1.88
10276,"Production","Production Technician I",51259,0,"Active","Indeed","Fully Meets",4,4.30,1,0,4.64
10304,"Sales","Area Sales Manager",59231,0,"Active","Website","PIP",1,2.30,17,2,6.86
10284,"Production","Production Technician I",61584,0,"Active","Indeed","Needs Improvement",4,3.88,6,0,5.98
10207,"Production","Production Technician I",46335,0,"Active","CareerBuilder","Fully Meets",5,3.40,15,0,6.75
10133,"IT/IS","IT Support",70621,0,"Active","Employee Referral","Fully Meets",4,4.11,16,0,3.99
10028,"IT/IS","IT Manager - Support",138888,0,"Active","Indeed","Exceeds",5,4.30,4,0,4.99
10006,"Sales","Area Sales Manager",74241,0,"Active","Indeed","Exceeds",5,4.77,14,0,7.98
10105,"Production","Production Manager",75188,0,"Active","Google Search","Fully Meets",4,4.52,4,0,4.29
10211,"Production","Production Technician I",62514,0,"Active","Google Search","Fully Meets",3,2.90,6,0,8.68
10064,"Production","Production Technician I",60070,1,"Voluntarily Terminated","Google Search","Fully Meets",3,5.00,7,0,7.75
10247,"Production","Production Technician I",48888,0,"Active","LinkedIn","Fully Meets",5,4.70,8,0,4.14
10235,"Production","Production Technician I",54285,0,"Active","Employee Referral","Fully Meets",3,4.20,3,0,4.76
10299,"Production","Production Technician II",56847,0,"Active","Indeed","PIP",1,3.00,5,2,4.49
10280,"Production","Production Technician I",60340,1,"Terminated for Cause","Google Search","Needs Improvement",4,5.00,16,5,6.75
10296,"Production","Production Technician I",59124,1,"Terminated for Cause","Google Search","Needs Improvement",3,2.30,19,5,4.87
10290,"Software Engineering","Software Engineer",99280,1,"Terminated for Cause","Indeed","Needs Improvement",5,2.10,19,4,7.67
10263,"Production","Production Technician II",71776,0,"Active","LinkedIn","Fully Meets",5,4.40,17,0,4.49
10136,"Production","Production Technician II",65902,0,"Active","LinkedIn","Fully Meets",4,4.00,7,0,4.87
10189,"Production","Production Technician I",57748,1,"Voluntarily Terminated","Google Search","Fully Meets",3,3.13,16,0,7.15
10308,"Production","Production Technician I",64057,0,"Active","Indeed","PIP",5,1.56,15,6,3.64
10309,"IT/IS","Network Engineer",53366,0,"Active","LinkedIn","PIP",3,1.20,2,3,3.76
10049,"Production","Production Technician I",58530,0,"Active","Google Search","Fully Meets",5,5.00,19,0,6.98
10093,"Production","Production Technician II",72609,1,"Voluntarily Terminated","Google Search","Fully Meets",5,4.76,20,0,7.63
10163,"Production","Production Technician II",55965,1,"Voluntarily Terminated","Google Search","Fully Meets",3,3.66,6,0,7.75
10305,"Sales","Area Sales Manager",70187,1,"Terminated for Cause","Employee Referral","PIP",5,2.00,7,4,4.26
10015,"IT/IS","IT Director",178000,0,"Active","Indeed","Exceeds",5,5.00,15,0,7.72
10080,"Admin Offices","Sr. Accountant",99351,0,"Active","Other","Fully Meets",3,5.00,3,0,9.99
10258,"Sales","Area Sales Manager",67251,0,"Active","CareerBuilder","Fully Meets",3,4.30,7,2,7.32
10273,"IT/IS","IT Support",65707,0,"Active","LinkedIn","Fully Meets",4,4.70,1,0,8.67
10111,"Production","Production Technician I",52249,0,"Active","Employee Referral","Fully Meets",3,4.50,5,0,3.76
10257,"Production","Production Technician I",53171,0,"Active","LinkedIn","Fully Meets",4,4.20,12,0,7.63
10159,"Production","Production Technician I",51337,0,"Active","LinkedIn","Fully Meets",3,3.73,19,0,3.76
10122,"Production","Production Technician I",51505,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,4.24,2,0,7.15
10142,"Sales","Area Sales Manager",59370,1,"Terminated for Cause","CareerBuilder","Fully Meets",4,3.97,7,0,4.49
10283,"Production","Production Technician I",54933,1,"Voluntarily Terminated","Diversity Job Fair","Needs Improvement",4,3.97,15,3,6.75
10018,"Production","Production Technician I",57815,0,"Active","Indeed","Exceeds",4,3.90,3,0,4.26
10255,"Sales","Area Sales Manager",61555,0,"Active","Indeed","Fully Meets",5,4.50,20,0,3.87
10246,"IT/IS","Database Administrator",114800,1,"Terminated for Cause","Indeed","Fully Meets",4,4.60,10,0,3.87
10228,"IT/IS","IT Support",74679,0,"Active","LinkedIn","Fully Meets",5,4.30,20,0,3.76
10243,"Production","Production Technician I",53018,0,"Active","Indeed","Fully Meets",5,4.30,7,0,5.14
10031,"Production","Production Technician I",59892,0,"Active","Diversity Job Fair","Exceeds",4,4.50,1,0,7.48
10300,"Production","Production Technician II",68898,1,"Voluntarily Terminated","Diversity Job Fair","PIP",3,3.00,10,3,8.68
10101,"IT/IS","IT Support",61242,0,"Active","Employee Referral","Fully Meets",4,4.61,11,0,3.99
10237,"Production","Production Technician II",66825,0,"Active","LinkedIn","Fully Meets",3,4.60,20,0,4.64
10051,"Production","Production Technician I",48285,0,"Active","LinkedIn","Fully Meets",3,5.00,2,0,6.50
10218,"Production","Production Technician II",66149,0,"Active","Google Search","Fully Meets",5,4.40,1,0,5.25
10256,"Production","Production Technician I",49256,0,"Active","LinkedIn","Fully Meets",5,4.10,3,0,5.37
10098,"Production","Production Manager",62957,0,"Active","Employee Referral","Fully Meets",3,4.63,2,0,3.58
10059,"Production","Production Technician I",63813,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",5,5.00,17,0,7.86
10234,"IT/IS","BI Developer",99020,0,"Active","Indeed","Fully Meets",5,4.20,8,0,1.70
10109,"Sales","Area Sales Manager",71707,1,"Voluntarily Terminated","LinkedIn","Fully Meets",5,4.50,20,0,6.82
10125,"Production","Production Technician I",54828,0,"Active","Google Search","Fully Meets",4,4.20,13,0,7.09
10074,"Production","Production Technician II",64246,0,"Active","LinkedIn","Fully Meets",3,5.00,20,0,5.14
10097,"Production","Production Technician I",52177,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",4,4.64,8,0,6.98
10007,"Production","Production Technician I",62065,0,"Active","CareerBuilder","Exceeds",4,4.76,5,0,4.64
10129,"Production","Production Technician I",46998,0,"Active","Google Search","Fully Meets",4,4.17,1,0,6.38
10075,"Production","Production Technician II",68099,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",3,5.00,15,0,7.98
10167,"Sales","Area Sales Manager",70545,0,"Active","Indeed","Fully Meets",5,3.60,9,0,4.37
10195,"Production","Production Technician II",63478,1,"Voluntarily Terminated","Indeed","Fully Meets",5,3.03,16,0,7.38
10112,"IT/IS","Database Administrator",97999,0,"Active","Indeed","Fully Meets",5,4.48,4,0,3.76
10272,"Sales","Director of Sales",180000,0,"Active","LinkedIn","Fully Meets",4,4.50,19,0,4.66
10182,"Admin Offices","Administrative Assistant",49920,1,"Terminated for Cause","Indeed","Fully Meets",3,3.24,6,0,3.87
10248,"Production","Production Technician I",55425,0,"Active","LinkedIn","Fully Meets",4,4.80,4,0,6.86
10201,"Production","Production Technician II",69340,0,"Active","LinkedIn","Fully Meets",5,3.00,4,0,2.57
10214,"Production","Production Technician II",64995,0,"Active","Indeed","Fully Meets",3,4.50,6,0,3.58
10160,"Production","Production Technician II",68182,1,"Voluntarily Terminated","Google Search","Fully Meets",3,3.72,18,0,7.86
10289,"Production","Production Manager",83082,1,"Voluntarily Terminated","Indeed","Needs Improvement",2,2.34,4,3,7.86
10139,"Production","Production Technician I",51908,0,"Active","Indeed","Fully Meets",3,3.99,14,0,5.37
10227,"Production","Production Technician I",61242,0,"Active","LinkedIn","Fully Meets",3,4.10,7,0,6.15
10236,"Production","Production Technician I",45069,0,"Active","Employee Referral","Fully Meets",5,4.30,7,0,5.25
10009,"Production","Production Technician II",60724,0,"Active","LinkedIn","Exceeds",4,4.60,11,0,7.49
10060,"Production","Production Technician I",60436,0,"Active","LinkedIn","Fully Meets",5,5.00,9,0,4.99
10034,"Production","Production Technician I",46837,1,"Voluntarily Terminated","CareerBuilder","Exceeds",4,4.70,9,0,7.15
10156,"IT/IS","Database Administrator",105700,0,"Active","Indeed","Fully Meets",3,3.75,2,0,3.99
10036,"Production","Production Technician II",63322,0,"Active","LinkedIn","Exceeds",3,4.30,1,0,4.49
10138,"Production","Production Technician I",61154,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",4,4.00,4,0,7.98
10244,"Sales","Sales Manager",68999,1,"Voluntarily Terminated","Google Search","Fully Meets",5,4.50,2,0,7.15
10192,"Production","Production Technician I",50482,0,"Active","Indeed","Fully Meets",4,3.07,10,0,5.25
10231,"Sales","Area Sales Manager",65310,0,"Active","Indeed","Fully Meets",5,4.30,13,0,5.37
10089,"Executive Office","President & CEO",250000,0,"Active","Indeed","Fully Meets",3,4.83,10,0,6.50
10166,"Production","Production Technician I",54005,1,"Voluntarily Terminated","Google Search","Fully Meets",5,3.60,16,0,7.27
10170,"Production","Production Technician I",45433,1,"Voluntarily Terminated","Google Search","Fully Meets",4,3.49,6,0,7.27
10208,"Production","Production Technician I",46654,0,"Active","LinkedIn","Fully Meets",3,3.10,3,0,4.87
10176,"Production","Production Technician I",63973,0,"Active","Indeed","Fully Meets",3,3.38,17,0,7.98
10165,"Sales","Area Sales Manager",71339,0,"Active","Diversity Job Fair","Fully Meets",5,3.65,20,0,7.82
10113,"IT/IS","Sr. Network Engineer",93206,0,"Active","Employee Referral","Fully Meets",5,4.46,7,0,4.14
10092,"Production","Production Manager",82758,1,"Terminated for Cause","Employee Referral","Fully Meets",4,4.78,9,0,7.98
10106,"Production","Production Technician II",66074,1,"Voluntarily Terminated","Indeed","Fully Meets",3,4.52,20,0,5.98
10052,"Production","Production Technician I",46120,0,"Active","LinkedIn","Fully Meets",5,5.00,13,0,6.48
10038,"Admin Offices","Accountant I",64520,0,"Active","Website","Fully Meets",4,5.00,3,0,4.99
10249,"Production","Production Technician II",61962,1,"Voluntarily Terminated","Google Search","Fully Meets",3,4.90,20,0,6.75
10232,"IT/IS","Senior BI Developer",81584,0,"Active","Indeed","Fully Meets",5,4.10,2,0,2.25
10087,"Production","Production Technician I",63676,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",3,4.88,17,0,7.27
10134,"Admin Offices","Shared Services Manager",93046,0,"Active","CareerBuilder","Fully Meets",4,4.10,20,0,2.99
10251,"Production","Production Technician I",64738,0,"Active","Google Search","Fully Meets",3,4.10,10,0,6.63
10103,"Sales","Area Sales Manager",70468,0,"Active","Website","Fully Meets",3,4.53,16,0,6.67
10017,"Production","Production Manager",77915,0,"Active","Website","Exceeds",3,4.10,11,0,5.25
10186,"Production","Production Technician I",52624,1,"Voluntarily Terminated","Indeed","Fully Meets",4,3.18,16,0,7.49
10137,"Production","Production Technician II",63450,0,"Active","LinkedIn","Fully Meets",3,4.00,7,0,5.48
10008,"IT/IS","IT Support",51777,0,"Active","Diversity Job Fair","Exceeds",4,4.64,14,0,7.95
10096,"Production","Production Technician II",67237,1,"Voluntarily Terminated","LinkedIn","Fully Meets",4,4.65,15,0,5.48
10035,"Production","Production Technician II",73330,0,"Active","Indeed","Exceeds",4,4.20,19,0,5.37
10057,"Production","Production Technician I",52057,0,"Active","Website","Fully Meets",3,5.00,6,0,3.87
10004,"Production","Production Technician I",47434,1,"Voluntarily Terminated","Diversity Job Fair","Exceeds",4,5.00,17,0,7.15
10191,"Production","Production Technician I",52788,1,"Voluntarily Terminated","Indeed","Fully Meets",4,3.08,18,0,6.27
10219,"Production","Production Technician I",45395,0,"Active","LinkedIn","Fully Meets",4,4.60,14,0,4.99
10077,"Production","Production Technician II",62385,0,"Active","LinkedIn","Fully Meets",3,5.00,4,0,2.64
10073,"Production","Production Technician II",68407,1,"Voluntarily Terminated","LinkedIn","Fully Meets",4,5.00,16,0,7.49
10279,"Production","Production Technician I",61349,0,"Active","LinkedIn","Fully Meets",3,4.10,11,0,5.14
10110,"Software Engineering","Software Engineer",105688,0,"Active","Google Search","Fully Meets",5,4.50,14,0,5.14
10053,"Production","Production Technician I",54132,0,"Active","Indeed","Fully Meets",4,5.00,8,0,7.59
10076,"Production","Production Technician II",55315,0,"Active","LinkedIn","Fully Meets",5,5.00,16,0,3.76
10145,"Production","Production Technician I",62810,0,"Active","CareerBuilder","Fully Meets",3,3.93,20,0,5.98
10202,"Sales","Area Sales Manager",63291,0,"Active","Website","Fully Meets",4,3.40,7,0,2.49
10128,"Production","Production Technician I",62659,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,4.18,17,0,6.75
10068,"Production","Production Technician I",55688,0,"Active","CareerBuilder","Fully Meets",4,5.00,10,0,3.76
10116,"Production","Production Manager",83667,0,"Active","Indeed","Fully Meets",3,4.37,2,0,6.38
10298,"Production","Production Technician II",55800,1,"Voluntarily Terminated","LinkedIn","PIP",2,3.00,6,6,7.38
10213,"Production","Production Technician II",58207,0,"Active","LinkedIn","Fully Meets",3,3.70,14,0,7.15
10288,"IT/IS","IT Manager - Infra",157000,0,"Active","Diversity Job Fair","Needs Improvement",3,2.39,13,4,6.88
10025,"Production","Production Technician II",72460,0,"Active","Indeed","Exceeds",3,4.70,1,0,5.64
10223,"Production","Production Technician II",72106,0,"Active","Diversity Job Fair","Fully Meets",4,4.10,12,0,6.98
10151,"IT/IS","Network Engineer",52599,0,"Active","CareerBuilder","Fully Meets",3,3.81,6,0,3.87
10254,"Production","Production Technician I",63430,0,"Active","LinkedIn","Fully Meets",4,4.40,18,0,5.75
10120,"Production","Production Technician II",74417,0,"Active","LinkedIn","Fully Meets",5,4.29,11,0,5.64
10216,"Production","Production Technician I",57575,0,"Active","LinkedIn","Fully Meets",4,4.10,13,0,5.48
10079,"IT/IS","Senior BI Developer",87921,0,"Active","Indeed","Fully Meets",3,5.00,17,0,1.89
10215,"Production","Production Technician I",50470,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",3,4.30,19,0,7.27
10185,"Production","Production Technician I",46664,1,"Voluntarily Terminated","Employee Referral","Fully Meets",3,3.18,10,0,5.75
10063,"Production","Production Technician I",48495,0,"Active","LinkedIn","Fully Meets",5,5.00,11,0,4.64
10037,"Production","Production Technician I",52984,0,"Active","Diversity Job Fair","Exceeds",3,4.00,12,0,5.75
10042,"Sales","Area Sales Manager",63695,0,"Active","Indeed","Fully Meets",5,5.00,2,0,5.48
10206,"Production","Production Technician I",62061,0,"Active","LinkedIn","Fully Meets",5,3.60,4,0,5.48
10104,"Production","Production Technician II",66738,0,"Active","Indeed","Fully Meets",5,4.53,5,0,4.14
10303,"Production","Production Technician I",52674,1,"Terminated for Cause","LinkedIn","PIP",2,2.33,3,6,4.76
10078,"Production","Production Technician II",71966,1,"Voluntarily Terminated","LinkedIn","Fully Meets",3,5.00,17,0,6.63
10121,"Sales","Area Sales Manager",63051,0,"Active","Indeed","Fully Meets",3,4.28,1,0,5.25
10021,"Production","Production Technician I",47414,0,"Active","LinkedIn","Exceeds",3,5.00,13,0,5.25
10281,"Production","Production Technician I",53060,0,"Active","LinkedIn","Needs Improvement",3,4.25,6,4,4.87
10041,"Sales","Area Sales Manager",68829,0,"Active","Website","Fully Meets",5,5.00,18,0,3.99
10148,"Production","Production Technician I",63515,1,"Voluntarily Terminated","Google Search","Fully Meets",4,3.89,7,0,7.90
10005,"Software Engineering","Software Engineer",108987,1,"Voluntarily Terminated","Diversity Job Fair","Exceeds",5,5.00,13,0,7.15
10259,"IT/IS","Data Analyst",93093,1,"Voluntarily Terminated","Employee Referral","Fully Meets",4,4.70,19,0,4.08
10286,"Production","Production Technician I",53564,1,"Voluntarily Terminated","Google Search","Needs Improvement",5,3.54,15,4,7.98
10297,"Production","Production Technician II",60270,1,"Voluntarily Terminated","CareerBuilder","Needs Improvement",5,2.40,2,5,7.49
10171,"Production","Production Technician I",45998,1,"Voluntarily Terminated","LinkedIn","Fully Meets",4,3.45,5,0,7.63
10032,"Production","Production Technician II",57954,1,"Voluntarily Terminated","Indeed","Exceeds",5,4.20,12,0,7.63
10130,"Production","Production Manager",74669,1,"Voluntarily Terminated","Indeed","Fully Meets",5,4.16,6,0,8.19
10217,"Production","Production Technician II",74226,0,"Active","LinkedIn","Fully Meets",3,4.30,14,0,6.75
10016,"IT/IS","Data Analyst",93554,0,"Active","Employee Referral","Exceeds",5,4.60,16,0,4.14
10050,"Production","Production Technician I",64724,1,"Voluntarily Terminated","Google Search","Fully Meets",3,5.00,13,0,7.49
10164,"Production","Production Technician I",47001,0,"Active","Google Search","Fully Meets",3,3.66,15,0,11.16
10124,"Sales","Area Sales Manager",61844,0,"Active","Website","Fully Meets",5,4.20,9,0,6.98
10187,"Production","Production Technician I",46799,1,"Voluntarily Terminated","Google Search","Fully Meets",4,3.17,14,0,7.63
10225,"Production","Production Technician I",59472,0,"Active","Employee Referral","Fully Meets",3,4.80,14,0,4.99
10262,"Production","Production Technician I",46430,1,"Voluntarily Terminated","Indeed","Fully Meets",5,4.50,16,0,6.27
10131,"Software Engineering","Software Engineer",83363,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,4.15,4,0,7.86
10239,"IT/IS","BI Developer",95920,0,"Active","Indeed","Fully Meets",4,4.40,10,0,2.25
10152,"Production","Production Technician I",61729,1,"Voluntarily Terminated","Indeed","Fully Meets",5,3.80,19,0,7.27
10140,"Sales","Area Sales Manager",61809,0,"Active","CareerBuilder","Fully Meets",3,3.98,4,0,4.64
10058,"Production","Production Technician I",45115,1,"Voluntarily Terminated","LinkedIn","Fully Meets",4,5.00,11,0,7.63
10011,"Production","Production Technician I",46738,0,"Active","Google Search","Exceeds",5,4.36,16,0,7.09
10230,"Production","Production Technician II",64971,1,"Voluntarily Terminated","Google Search","Fully Meets",4,4.50,10,0,7.27
10224,"Production","Production Technician II",55578,1,"Voluntarily Terminated","Indeed","Fully Meets",5,4.20,13,0,7.49
10047,"Production","Production Technician I",50428,1,"Voluntarily Terminated","Indeed","Fully Meets",3,5.00,11,0,7.98
10285,"Production","Production Technician I",61422,1,"Terminated for Cause","Indeed","Needs Improvement",3,3.60,16,4,7.98
10020,"Production","Production Technician I",63353,0,"Active","Employee Referral","Exceeds",5,3.60,4,0,5.48
10162,"IT/IS","Data Analyst",89883,0,"Active","Employee Referral","Fully Meets",5,3.69,15,0,3.87
10149,"IT/IS","Principal Data Architect",120000,1,"Voluntarily Terminated","LinkedIn","Fully Meets",3,3.88,12,0,3.99
10086,"IT/IS","Data Architect",150290,0,"Active","Indeed","Fully Meets",3,4.94,17,0,1.98
10054,"Production","Production Technician I",60627,0,"Active","Website","Fully Meets",4,5.00,8,0,4.99
10065,"Production","Production Technician I",53180,1,"Voluntarily Terminated","Google Search","Fully Meets",5,5.00,4,0,7.75
10198,"IT/IS","IT Manager - DB",140920,0,"Active","Indeed","Fully Meets",5,3.60,13,0,5.95
10222,"IT/IS","IT Manager - DB",148999,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,4.30,8,0,6.98
10126,"Software Engineering","Software Engineer",86214,0,"Active","Indeed","Fully Meets",3,4.20,2,0,6.15
10295,"Production","Production Technician I",47750,0,"Active","Diversity Job Fair","Needs Improvement",4,2.60,4,5,2.49
10260,"Production","Production Technician I",46428,1,"Voluntarily Terminated","Google Search","Fully Meets",5,4.60,7,0,9.99
10233,"Production","Production Technician II",57975,0,"Active","CareerBuilder","Fully Meets",3,4.10,13,0,8.34
10229,"IT/IS","Data Analyst",88527,1,"Voluntarily Terminated","LinkedIn","Fully Meets",3,4.20,2,0,3.99
10169,"Production","Production Technician I",56147,0,"Active","LinkedIn","Fully Meets",3,3.51,2,0,4.26
10071,"Production","Production Technician I",50923,0,"Active","Google Search","Fully Meets",5,5.00,14,0,5.25
10179,"IT/IS","Network Engineer",50750,0,"Active","LinkedIn","Fully Meets",3,3.31,7,0,4.25
10091,"Production","Production Technician I",52087,0,"Active","LinkedIn","Fully Meets",4,4.81,15,0,5.37
10178,"IT/IS","Data Analyst",87826,0,"Active","Employee Referral","Fully Meets",3,3.32,16,0,3.99
10039,"Admin Offices","Administrative Assistant",51920,0,"Active","Website","Fully Meets",3,5.00,2,0,3.67
10095,"Production","Production Technician II",63878,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",4,4.68,20,0,9.18
10027,"Production","Production Technician II",60656,0,"Active","Indeed","Exceeds",3,4.30,4,0,4.26
